number,name,activity,address,addressy,coordinates,metro,area,phone,site,status,time,reach,inventory,services,premises,cameras,others
9.001,"СПб ГБУ «Кронштадтскийоздоровительно-спортивный центр»",Волейбол,"Кронштадт, ул.Аммермана, д.4","Ул.Аммермана, участок 4, (юго-восточнее дома 4, литера «А»)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,"Вторник-пятница 17:00-21:00 суббота,воскресенье 12:30-18:30",Доступна,,1,,,
9.002,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","Баскетбол, волейбол, мини-футбол, силовой элемент","Кронштадт, ул.Велещинского, д.15","Кронштадт, Ул.Велещинского, участок 3, (северо-восточнее дома 15)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,Доступна,,,,,
9.003,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","Уличные тренажеры, силовые элементы","Кронштадт, ул.Зосимова, д.5","Ул.Зосимова, участок 7,",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,Доступна,,,,,
9.004,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»",Мини-футбол,"Кронштадт, ул.Зосимова, д.28-30","Ул.Зосимова, участок 6 (восточнее дома 28-30, лит.А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,"Суббота, воскресенье 11:00-15:00",Доступна,,1,,,
9.005,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","Баскетбол, волейбол, мини-футбол","Кронштадт, ул.Красная, д.8","Ул.Красная, участок 6, (юго-восточнее .д.8, литера А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,"Вторник, четверг 18:00-20:00",Доступна,,1,,,
9.006,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","Настольный теннис, шахматы","Кронштадт, ул.Кронштадтская, д.3","Ул.Кронштадтская, участок 1 (северо-восточнее д.3, литера А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,Доступна,,,,,
9.007,"СПб ГБУ «Кронштадтский оздоровительно--спортивный центр»","Волейбол, стритбол, уличные тренажеры","Кронштадт, ул.Кронштадтская, д.9","Ул.Кронштадтская, участок 2, (северо-восточнее д.9 литера А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,"Вторник, среда, пятница 17:30-21:30",Доступна,,,,,
9.008,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","Уличные тренажеры","Кронштадт, ул.Ленинградская, д.9","Ул.Ленинградская, участок 8 (северо-западнее дома 3, литера А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,,,,,,
9.009,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","Баскетбол, мини-футбол, уличные тренажеры","Кронштадт, ул.Мануильского, д.9","Ул.Мануильского, участок 1, (западнее дома 9)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46","Ул.Мануильского, д.9",Работающий,"Пятница 17:00-21:00, суббота, воскресенье 12:30-18:30",Доступна,,1,,,
9.0010,"СПб «Кронштадтский оздоровительно-спортивный центр»","«Питербаскет», уличные тренажеры","Кронштадт, ул.Посадская, д.25","Ул.Посадская, участок 2, (северо-западнее дома 25)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,Доступна,,,,,
